w,y,chain,latitude,longitude
13270,44345,Loran9960,43.025,69.53
13280,44345,Loran9960,43.01667,69.55167
13290,44345,Loran9960,43.01,69.57167
13300,44345,Loran9960,43.00167,69.59333
13310,44345,Loran9960,42.995,69.61333
13320,44345,Loran9960,42.98667,69.635
13330,44345,Loran9960,42.98,69.655
13340,44345,Loran9960,42.97167,69.67667
13350,44345,Loran9960,42.965,69.69667
13360,44345,Loran9960,42.95667,69.71833
13370,44345,Loran9960,42.93333,69.73833
13380,44345,Loran9960,42.94333,69.76
13390,44345,Loran9960,42.935,69.78
13400,44345,Loran9960,42.92833,69.80167
13410,44345,Loran9960,42.92,69.82167
13420,44345,Loran9960,42.91333,69.84167
13430,44345,Loran9960,42.905,69.86333
13440,44345,Loran9960,42.89833,69.88333
13450,44345,Loran9960,42.89167,69.90333
13460,44345,Loran9960,42.88333,69.925
13470,44345,Loran9960,42.87667,69.945
13480,44345,Loran9960,42.86833,69.965
13490,44345,Loran9960,42.86167,69.98667
13500,44345,Loran9960,42.855,70.00667
13510,44345,Loran9960,42.84667,70.02833
13520,44345,Loran9960,42.84,70.048330000000007
13530,44345,Loran9960,42.81667,70.06833
13540,44345,Loran9960,42.825,70.08833
13550,44345,Loran9960,42.81833,70.11
13560,44345,Loran9960,42.81167,70.13
13570,44345,Loran9960,42.80333,70.15
13580,44345,Loran9960,42.79667,70.17
13590,44345,Loran9960,42.79,70.19167
13600,44345,Loran9960,42.78167,70.21167
13610,44345,Loran9960,42.775,70.23167
13620,44345,Loran9960,42.76833,70.25167
13630,44345,Loran9960,42.76,70.27167
13640,44345,Loran9960,42.75333,70.29333
13650,44345,Loran9960,42.74667,70.31333
13660,44345,Loran9960,42.73833,70.33333
13670,44345,Loran9960,42.73167,70.35333
13680,44345,Loran9960,42.725,70.37333
13690,44345,Loran9960,42.71833,70.395
13700,44345,Loran9960,42.71,70.415
13710,44345,Loran9960,42.70333,70.435
13720,44345,Loran9960,42.69667,70.455
13730,44345,Loran9960,42.68833,70.475
13740,44345,Loran9960,42.68167,70.495
13750,44345,Loran9960,42.675,70.515
13760,44345,Loran9960,42.66833,70.535
13770,44345,Loran9960,42.66,70.55667
13780,44345,Loran9960,42.65333,70.57667
13790,44345,Loran9960,42.64667,70.59667
13800,44345,Loran9960,42.64,70.61667
13810,44345,Loran9960,42.63167,70.63667
13820,44345,Loran9960,42.625,70.65667
13830,44345,Loran9960,42.61833,70.67667
13840,44345,Loran9960,42.61167,70.69667
13850,44345,Loran9960,42.60333,70.71667
13860,44345,Loran9960,42.59667,70.73667
13870,44345,Loran9960,42.59,70.75833
13880,44345,Loran9960,42.56667,70.77833
13890,44345,Loran9960,42.57667,70.798330000000007
13900,44345,Loran9960,42.56833,70.81833
13910,44345,Loran9960,42.56167,70.83833
13920,44345,Loran9960,42.555,70.85833
13930,44345,Loran9960,42.54833,70.87833
13940,44345,Loran9960,42.54167,70.89833
13950,44345,Loran9960,42.53333,70.91833
13960,44345,Loran9960,42.52667,70.93833
13970,44345,Loran9960,42.52,70.95833
13980,44345,Loran9960,42.51333,70.97833
13990,44345,Loran9960,42.50667,70.99833
14000,44345,Loran9960,42.49833,71.01833
11800,44350,Loran9960,44.39667,65.70167
11810,44350,Loran9960,44.38333,65.74167
11820,44350,Loran9960,44.37,65.78167
11830,44350,Loran9960,44.35667,65.82
11840,44350,Loran9960,44.34333,65.86
11850,44350,Loran9960,44.33,65.89667
11860,44350,Loran9960,44.31667,65.935
11870,44350,Loran9960,44.30333,65.97333
11880,44350,Loran9960,44.29167,66.01
11890,44350,Loran9960,44.27833,66.04667
11900,44350,Loran9960,44.265,66.08167
11910,44350,Loran9960,44.25333,66.11833
11920,44350,Loran9960,44.24167,66.15333
11930,44350,Loran9960,44.22833,66.18833
11940,44350,Loran9960,44.21667,66.22333
11950,44350,Loran9960,44.205,66.25833
11960,44350,Loran9960,44.19333,66.29167
11970,44350,Loran9960,44.18167,66.32667
11980,44350,Loran9960,44.17,66.36
11990,44350,Loran9960,44.15833,66.39167
12000,44350,Loran9960,44.14667,66.425
12010,44350,Loran9960,44.135,66.45833
12020,44350,Loran9960,44.12333,66.49
12030,44350,Loran9960,44.11333,66.52167
12040,44350,Loran9960,44.10167,66.55333
12050,44350,Loran9960,44.09,66.585
12060,44350,Loran9960,44.08,66.61667
12070,44350,Loran9960,44.06833,66.64833
12080,44350,Loran9960,44.05833,66.67833
12090,44350,Loran9960,44.04667,66.71
12100,44350,Loran9960,44.03667,66.74
12110,44350,Loran9960,44.02667,66.77
12120,44350,Loran9960,44.015,66.78333
12130,44350,Loran9960,44.005,66.83
12140,44350,Loran9960,43.995,66.85833
12150,44350,Loran9960,43.985,66.88833
12160,44350,Loran9960,43.975,66.91833
12170,44350,Loran9960,43.96333,66.94667
12180,44350,Loran9960,43.95333,66.975
12190,44350,Loran9960,43.94333,67.00333
12200,44350,Loran9960,43.93333,67.03167
12210,44350,Loran9960,43.92333,67.06
12220,44350,Loran9960,43.91333,67.08833
12230,44350,Loran9960,43.90333,67.1
12240,44350,Loran9960,43.895,67.145
12250,44350,Loran9960,43.885,67.17167
12260,44350,Loran9960,43.875,67.18333
12270,44350,Loran9960,43.865,67.22667
12280,44350,Loran9960,43.855,67.25333
12290,44350,Loran9960,43.84667,67.28
12300,44350,Loran9960,43.83667,67.30833
12310,44350,Loran9960,43.82667,67.335
12320,44350,Loran9960,43.81667,67.36167
12330,44350,Loran9960,43.80833,67.38833
12340,44350,Loran9960,43.79833,67.41333
12350,44350,Loran9960,43.78833,67.44
12360,44350,Loran9960,43.78,67.46667
12370,44350,Loran9960,43.77,67.49333
12380,44350,Loran9960,43.76167,67.51833
12390,44350,Loran9960,43.75167,67.545
12400,44350,Loran9960,43.74333,67.57
12410,44350,Loran9960,43.735,67.595
12420,44350,Loran9960,43.725,67.62167
12430,44350,Loran9960,43.7,67.64667
12440,44350,Loran9960,43.70667,67.67167
12450,44350,Loran9960,43.69833,67.69667
12460,44350,Loran9960,43.68833,67.72167
12470,44350,Loran9960,43.68,67.74667
12480,44350,Loran9960,43.67167,67.77167
12490,44350,Loran9960,43.66333,67.79667
12500,44350,Loran9960,43.65333,67.82167
12510,44350,Loran9960,43.645,67.84667
12520,44350,Loran9960,43.63667,67.87
12530,44350,Loran9960,43.62833,67.895
12540,44350,Loran9960,43.61833,67.91833
12550,44350,Loran9960,43.61,67.94333
12560,44350,Loran9960,43.60167,67.96833
12570,44350,Loran9960,43.59333,67.99167
12580,44350,Loran9960,43.585,68.015
12590,44350,Loran9960,43.57667,68.04
12600,44350,Loran9960,43.56833,68.06333
12610,44350,Loran9960,43.55833,68.08667
12620,44350,Loran9960,43.55,68.11167
12630,44350,Loran9960,43.54167,68.135
12640,44350,Loran9960,43.53333,68.15833
12650,44350,Loran9960,43.525,68.18167
12660,44350,Loran9960,43.51667,68.205
12670,44350,Loran9960,43.50833,68.22833
12680,44350,Loran9960,43.5,68.25167
12690,44350,Loran9960,43.49167,68.275
12700,44350,Loran9960,43.48333,68.298330000000007
12710,44350,Loran9960,43.475,68.32167
12720,44350,Loran9960,43.46667,68.345
12730,44350,Loran9960,43.45833,68.36833
12740,44350,Loran9960,43.45,68.39
12750,44350,Loran9960,43.44167,68.41333
12760,44350,Loran9960,43.435,68.43667
12770,44350,Loran9960,43.42667,68.45833
12780,44350,Loran9960,43.41833,68.48167
12790,44350,Loran9960,43.41,68.50333
12800,44350,Loran9960,43.40167,68.52667
12810,44350,Loran9960,43.39333,68.53333
12820,44350,Loran9960,43.385,68.57167
12830,44350,Loran9960,43.37833,68.595
12840,44350,Loran9960,43.37,68.61667
12850,44350,Loran9960,43.36167,68.63833
12860,44350,Loran9960,43.35333,68.66167
12870,44350,Loran9960,43.345,68.68333
12880,44350,Loran9960,43.33667,68.705
12890,44350,Loran9960,43.33,68.72833
12900,44350,Loran9960,43.32167,68.75
12910,44350,Loran9960,43.31333,68.77167
12920,44350,Loran9960,43.305,68.795
12930,44350,Loran9960,43.29833,68.8
12940,44350,Loran9960,43.29,68.83833
12950,44350,Loran9960,43.28167,68.86
12960,44350,Loran9960,43.275,68.88167
12970,44350,Loran9960,43.25,68.90333
12980,44350,Loran9960,43.25833,68.92667
12990,44350,Loran9960,43.25167,68.94667
13000,44350,Loran9960,43.24333,68.96833
13010,44350,Loran9960,43.235,68.99167
13020,44350,Loran9960,43.22833,69.01333
13030,44350,Loran9960,43.22,69.035
13040,44350,Loran9960,43.21167,69.055
13050,44350,Loran9960,43.20333,69.07833
13060,44350,Loran9960,43.19667,69.09833
13070,44350,Loran9960,43.18833,69.12
13080,44350,Loran9960,43.18167,69.14167
13090,44350,Loran9960,43.17333,69.16333
13100,44350,Loran9960,43.165,69.185
13110,44350,Loran9960,43.15833,69.205
13120,44350,Loran9960,43.15,69.22667
13130,44350,Loran9960,43.14333,69.24833
13140,44350,Loran9960,43.135,69.27
13150,44350,Loran9960,43.12833,69.29167
13160,44350,Loran9960,43.12,69.31167
13170,44350,Loran9960,43.11167,69.33333
13180,44350,Loran9960,43.105,69.355
13190,44350,Loran9960,43.09667,69.375
13200,44350,Loran9960,43.09,69.39667
13210,44350,Loran9960,43.08167,69.41833
13220,44350,Loran9960,43.075,69.43833
13230,44350,Loran9960,43.06667,69.46
13240,44350,Loran9960,43.06,69.48
13250,44350,Loran9960,43.05167,69.50167
13260,44350,Loran9960,43.045,69.52333
13270,44350,Loran9960,43.03667,69.54333
13280,44350,Loran9960,43.03,69.565
13290,44350,Loran9960,43.02167,69.585
